"term","hour","time","coef","lb","ub"
"Intercept",0,"00:00",-1.11730933314213,-60.1119911249045,57.8773724586202
"Intercept",0.0833333333333333,"00:05",-1.11730933314213,-60.1119911249045,57.8773724586202
"Intercept",0.166666666666667,"00:10",-1.11730933314213,-60.1119911249045,57.8773724586202
"Intercept",0.25,"00:15",-1.11730933314213,-60.1119911249045,57.8773724586202
"Intercept",0.333333333333333,"00:20",-1.11730933314213,-60.1119911249045,57.8773724586202
"Intercept",0.416666666666667,"00:25",-1.11730933314213,-60.1119911249045,57.8773724586202
"Intercept",0.5,"00:30",-1.11730933314213,-60.1119911249045,57.8773724586202
"Intercept",0.583333333333333,"00:35",-1.11671430938133,-60.1106096405561,57.8771810217935
"Intercept",0.666666666666667,"00:40",-1.11611928562052,-60.1092281562078,57.8769895849667
"Intercept",0.75,"00:45",-1.11544043273709,-60.1077704402711,57.8768895747969
"Intercept",0.833333333333333,"00:50",-1.11445021454102,-60.1060295784351,57.877129149353
"Intercept",0.916666666666667,"00:55",-1.11345999634495,-60.104288716599,57.8773687239091
"Intercept",1,"01:00",-1.11223067448248,-60.1023378077223,57.8778764587573
"Intercept",1.08333333333333,"01:05",-1.11067685478705,-60.1001018350045,57.8787481254304
"Intercept",1.16666666666667,"01:10",-1.10912303509162,-60.0978658622868,57.8796197921036
"Intercept",1.25,"01:15",-1.1071033917649,-60.0952115390515,57.8810047555217
"Intercept",1.33333333333333,"01:20",-1.10481756350601,-60.0923181583775,57.8826830313655
"Intercept",1.41666666666667,"01:25",-1.10253173524712,-60.0894247777035,57.8843613072093
"Intercept",1.5,"01:30",-1.09948191797092,-60.0858084911068,57.886844655165
"Intercept",1.58333333333333,"01:35",-1.09629567408448,-60.0820631141668,57.8894717659978
"Intercept",1.66666666666667,"01:40",-1.09304469562547,-60.078253150534,57.892163759283
"Intercept",1.75,"01:45",-1.08879033129161,-60.0734420931627,57.8958614305795
"Intercept",1.83333333333333,"01:50",-1.08453596695774,-60.0686310357915,57.899559101876
"Intercept",1.91666666666667,"01:55",-1.07996484732577,-60.0634988106284,57.9035691159768
"Intercept",2,"02:00",-1.07454904689885,-60.0575101380204,57.9084120442227
"Intercept",2.08333333333333,"02:05",-1.06913324647193,-60.0515214654124,57.9132549724685
"Intercept",2.16666666666667,"02:10",-1.06317652710458,-60.0450016270459,57.9186485728367
"Intercept",2.25,"02:15",-1.05664508136304,-60.0379174250609,57.9246272623349
"Intercept",2.33333333333333,"02:20",-1.05011363562149,-60.030833223076,57.930605951833
"Intercept",2.41666666666667,"02:25",-1.04284716794826,-60.0230504595941,57.9373561236976
"Intercept",2.5,"02:30",-1.03526112552213,-60.0149639737223,57.944441722678
"Intercept",2.58333333333333,"02:35",-1.027675083096,-60.0068774878504,57.9515273216584
"Intercept",2.66666666666667,"02:40",-1.01918581516573,-59.9979384356127,57.9595668052812
"Intercept",2.75,"02:45",-1.01060622468505,-59.9889141267384,57.9677016773683
"Intercept",2.83333333333333,"02:50",-1.0019136039711,-59.9797801323005,57.9759529243583
"Intercept",2.91666666666667,"02:55",-0.992401514065916,-59.9698509175264,57.9850478893945
"Intercept",3,"03:00",-0.982889424160729,-59.9599217027523,57.9941428544308
"Intercept",3.08333333333333,"03:05",-0.973087019820446,-59.9496968336578,58.0035227940169
"Intercept",3.16666666666667,"03:10",-0.962703986609971,-59.9388806559226,58.0134726827026
"Intercept",3.25,"03:15",-0.952320953399496,-59.9280644781874,58.0234225713884
"Intercept",3.33333333333333,"03:20",-0.941505577528652,-59.9168040309263,58.033792875869
"Intercept",3.41666666666667,"03:25",-0.930329916107499,-59.9051733590605,58.0445135268455
"Intercept",3.5,"03:30",-0.919154254686346,-59.8935426871946,58.0552341778219
"Intercept",3.58333333333333,"03:35",-0.907452744839134,-59.8814001594983,58.06649466982
"Intercept",3.66666666666667,"03:40",-0.895582963495581,-59.8690938379362,58.077927910945
"Intercept",3.75,"03:45",-0.883713182152029,-59.8567875163741,58.0893611520701
"Intercept",3.83333333333333,"03:50",-0.871267003416234,-59.8439512048956,58.1014171980631
"Intercept",3.91666666666667,"03:55",-0.858802812261931,-59.8310983312322,58.1134927067083
"Intercept",4,"04:00",-0.846248675707791,-59.8181639900536,58.125666638638
"Intercept",4.08333333333333,"04:05",-0.833289784854386,-59.8048630450569,58.1382834753481
"Intercept",4.16666666666667,"04:10",-0.820330894000981,-59.7915621000602,58.1509003120582
