"term","yind","hour","time","coef","se","lb","ub"
"Intercept",0.5,0.5,"00:30",-1.11730933314213,30.0993274447767,-60.1119911249045,57.8773724586202
"Intercept",0.732323232323232,0.732323232323232,"00:44",-1.11565047902111,30.0982087933535,-60.1081397139939,57.8768387559517
"Intercept",0.964646464646465,0.964646464646465,"00:58",-1.11288987071691,30.0971410874957,-60.1032864022085,57.8775066607747
"Intercept",1.1969696969697,1.1969696969697,"01:12",-1.10855800974782,30.0961708018116,-60.0970527812986,57.8799367618029
"Intercept",1.42929292929293,1.42929292929293,"01:26",-1.10218539763214,30.0953066270715,-60.0889863866923,57.884615591428
"Intercept",1.66161616161616,1.66161616161616,"01:40",-1.09330253588813,30.0945113234084,-60.0785447297686,57.8919396579923
"Intercept",1.89393939393939,1.89393939393939,"01:54",-1.08144188380584,30.0937194903929,-60.065132084976,57.9022483173643
"Intercept",2.12626262626263,2.12626262626263,"02:08",-1.06634328867624,30.0929046443716,-60.0484363916446,57.9157498142921
"Intercept",2.35858585858586,2.35858585858586,"02:22",-1.0481344096392,30.0921184110013,-60.0286864952018,57.9324176759234
"Intercept",2.59090909090909,2.59090909090909,"02:35",-1.02698544287544,30.0914065866815,-60.0061423527712,57.9521714670203
"Intercept",2.82323232323232,2.82323232323232,"02:49",-1.00306658456567,30.0907740249589,-59.9809836734852,57.9748505043539
"Intercept",3.05555555555556,3.05555555555556,"03:03",-0.976548030890605,30.090180711911,-59.9533022262362,58.000206164455
"Intercept",3.28787878787879,3.28787878787879,"03:17",-0.94760139284928,30.0895646127107,-59.9231480337623,58.0279452480637
"Intercept",3.52020202020202,3.52020202020202,"03:31",-0.916445003432734,30.0889174117071,-59.8907231303787,58.0578331235132
"Intercept",3.75252525252525,3.75252525252525,"03:45",-0.883353491808285,30.0882964825156,-59.8564145975389,58.0897076139223
"Intercept",3.98484848484848,3.98484848484848,"03:59",-0.848604837681138,30.0877436255144,-59.8205823436894,58.1233726683271
"Intercept",4.21717171717172,4.21717171717172,"04:13",-0.812477020756492,30.0872570921009,-59.7835009212743,58.1585468797613
"Intercept",4.44949494949495,4.44949494949495,"04:27",-0.775248020739551,30.0867918431407,-59.7453600332954,58.1948639918163
"Intercept",4.68181818181818,4.68181818181818,"04:41",-0.737209611965224,30.0862883434902,-59.706334765206,58.2319155412755
"Intercept",4.91414141414141,4.91414141414141,"04:55",-0.698865410747004,30.0857542410997,-59.6669437233024,58.2692129018084
"Intercept",5.14646464646465,5.14646464646465,"05:09",-0.660884934152262,30.0852485977382,-59.627972185719,58.3062023174145
"Intercept",5.37878787878788,5.37878787878788,"05:23",-0.623942133173542,30.0848073060305,-59.5901644529932,58.3422801866461
"Intercept",5.61111111111111,5.61111111111111,"05:37",-0.588710958803389,30.0844210089564,-59.5541761363579,58.3767542187511
"Intercept",5.84343434343434,5.84343434343434,"05:51",-0.555865362034348,30.0840396127851,-59.5205830030931,58.4088522790244
"Intercept",6.07575757575758,6.07575757575758,"06:05",-0.525984981128718,30.0836084051389,-59.4898574552009,58.4378874929435
"Intercept",6.30808080808081,6.30808080808081,"06:18",-0.498850909682879,30.0831511993635,-59.4618272604353,58.4641254410695
"Intercept",6.54040404040404,6.54040404040404,"06:32",-0.473842350838231,30.0827279633821,-59.4359891590671,58.4883044573907
"Intercept",6.77272727272727,6.77272727272727,"06:46",-0.45033545338537,30.0823694360154,-59.4117795479755,58.5111086412048
"Intercept",7.00505050505051,7.00505050505051,"07:00",-0.427706366114891,30.08206001234,-59.3885439903013,58.5331312580716
"Intercept",7.23737373737374,7.23737373737374,"07:14",-0.40533123781739,30.081746510956,-59.3655543992912,58.5548919236565
"Intercept",7.46969696969697,7.46969696969697,"07:28",-0.38266240078498,30.0813828048341,-59.3421726982599,58.5768478966899
"Intercept",7.7020202020202,7.7020202020202,"07:42",-0.359536275810325,30.0810058121701,-59.3183076676637,58.599235116043
"Intercept",7.93434343434343,7.93434343434343,"07:56",-0.335910054485334,30.080672540947,-59.2940282347415,58.6222081257708
"Intercept",8.16666666666667,8.16666666666667,"08:10",-0.311740972413784,30.0804060313582,-59.2693367938758,58.6458548490482
"Intercept",8.3989898989899,8.3989898989899,"08:24",-0.28698626519945,30.080182630953,-59.2441442218674,58.6701716914685
"Intercept",8.63131313131313,8.63131313131313,"08:38",-0.261603196730025,30.079944973444,-59.2182953446803,58.6950889512202
"Intercept",8.86363636363636,8.86363636363636,"08:52",-0.235602470163838,30.079656928249,-59.1917300495319,58.7205251092042
"Intercept",9.0959595959596,9.0959595959596,"09:06",-0.209159293746591,30.0793657753961,-59.1647162135229,58.7463976260298
"Intercept",9.32828282828283,9.32828282828283,"09:20",-0.182480428043763,30.0791251153546,-59.1375656541387,58.7726047980512
"Intercept",9.56060606060606,9.56060606060606,"09:34",-0.155772633620836,30.0789507740707,-59.1105161507994,58.7989708835577
"Intercept",9.79292929292929,9.79292929292929,"09:48",-0.12924267104329,30.0788123284697,-59.083714834844,58.8252294927574
"Intercept",10.0252525252525,10.0252525252525,"10:02",-0.103096488470923,30.0786505225799,-59.0572515127276,58.8510585357857
"Intercept",10.2575757575758,10.2575757575758,"10:15",-0.077444375512295,30.0784426656984,-59.0311920002811,58.8763032492566
"Intercept",10.489898989899,10.489898989899,"10:29",-0.0522122432390533,30.0782426639963,-59.0055678646718,58.9011433781937
"Intercept",10.7222222222222,10.7222222222222,"10:43",-0.0273050135276882,30.0780988688129,-58.980378796401,58.9257687693457
"Intercept",10.9545454545455,10.9545454545455,"10:57",-0.00262760825469039,30.0780186432566,-58.9555441490377,58.9502889325283
"Intercept",11.1868686868687,11.1868686868687,"11:11",0.0219150507034493,30.0779641513198,-58.9308946858834,58.9747247872903
"Intercept",11.4191919191919,11.4191919191919,"11:25",0.0464203991570894,30.0778748425769,-58.9062142922937,58.9990550906079
"Intercept",11.6515151515152,11.6515151515152,"11:39",0.0710686762996009,30.0777428865414,-58.8813073813216,59.0234447339208
"Intercept",11.8838383838384,11.8838383838384,"11:53",0.0961428280363806,30.0776271485148,-58.8560063830527,59.0482920391254
"Intercept",12.1161616161616,12.1161616161616,"12:07",0.121932196616262,30.0775714151372,-58.8301077770527,59.0739721702852
"Intercept",12.3484848484848,12.3484848484848,"12:21",0.148726124288078,30.0775759711381,-58.8033227791426,59.1007750277187
"Intercept",12.5808080808081,12.5808080808081,"12:35",0.176813953300661,30.0775975989295,-58.7752773406012,59.1289052472025
"Intercept",12.8131313131313,12.8131313131313,"12:49",0.20645665948033,30.077577965562,-58.7455961530212,59.1585094719819
"Intercept",13.0454545454545,13.0454545454545,"13:03",0.23745973623321,30.0775248583244,-58.7144889860826,59.189408458549
"Intercept",13.2777777777778,13.2777777777778,"13:17",0.269261461575598,30.0774983214016,-58.6826352483716,59.2211581715228
"Intercept",13.510101010101,13.510101010101,"13:31",0.301289657684139,30.077535671667,-58.6506802587832,59.2532595741515
"Intercept",13.7424242424242,13.7424242424242,"13:45",0.33297214673548,30.0776290261895,-58.6191807445959,59.2851250380668
"Intercept",13.9747474747475,13.9747474747475,"13:58",0.363736750906268,30.0777295124538,-58.5886130935032,59.3160865953158
"Intercept",14.2070707070707,14.2070707070707,"14:12",0.393057776881619,30.0777827974249,-58.5593965060712,59.3455120598345
"Intercept",14.4393939393939,14.4393939393939,"14:26",0.420817872190443,30.0778119831991,-58.5316936148797,59.3733293592606
"Intercept",14.6717171717172,14.6717171717172,"14:40",0.447111538160816,30.0778771727818,-58.5055277204914,59.3997507968131
"Intercept",14.9040404040404,14.9040404040404,"14:54",0.472035075345531,30.0780096395166,-58.4808638181071,59.4249339687982
